date,up_count,down_count,flat_count,valid_count,universe_total,coverage_ratio,breadth_net_ratio,up_ratio,down_ratio,breadth_log_ad_ratio,open_0050,close_0050,ret_c0_o1,ret_c0_c1,ret_o1_c1,ret_o1_o2,ret_o1_c2,ret_o1_c3,ret_o1_c5,ret_o1_c10,year,month
2017-09-26,361,971,157,1489,1974,0.754305977710233,-0.45795795795795796,0.27102102102102105,0.728978978978979,-0.9885792272186754,120.98951307928485,120.24081559735858,0.0037359900373599153,0.00498132004981322,0.001240694789081953,0.0018610421836229296,-0.002481389578163573,0.0006203473945409765,0.011166253101737134,0.04466501240694787,2017,9
2017-09-27,981,322,194,1497,1974,0.7583586626139818,0.5057559478127398,0.7528779739063699,0.24712202609363007,1.1129788774806886,120.69003408651433,120.8397735828996,0.0006195786864930941,-0.0037174721189590088,-0.004334365325077361,-0.0037151702786377694,-0.0012383900928792935,0.005572755417956765,0.009287925696594312,0.04086687306501546,2017,9
2017-09-28,588,716,193,1497,1974,0.7583586626139818,-0.09815950920245399,0.450920245398773,0.549079754601227,-0.19680132056789518,120.91464333109222,120.39055509374384,0.0006218905472636926,0.003109452736318463,0.0024860161591049312,0.006836544437538672,0.009322560596643825,0.013051584835301444,0.017402113113735185,0.050341827221876745,2017,9
2017-09-29,510,800,179,1489,1974,0.754305977710233,-0.22137404580152673,0.3893129770992366,0.6106870229007634,-0.44984589483204923,120.46542484193647,120.76490383470697,0.004339739615623062,0.0068195908245505255,0.0024691358024693244,0.0030864197530864335,0.006172839506172867,0.006172839506172867,0.013580246913580174,0.040740740740740744,2017,9
2017-09-30,1017,274,193,1484,1974,0.75177304964539,0.5755228505034856,0.7877614252517429,0.21223857474825716,1.3101526563671648,121.28899207205535,121.58847106482587,0.0006157635467980427,0.003694581280788034,0.003076923076922977,0.0036923076923076614,0.003076923076922977,0.007384615384615323,0.026461538461538536,0.04123076923076918,2017,9
2017-10-02,995,317,180,1492,1974,0.7558257345491388,0.5167682926829268,0.7583841463414634,0.24161585365853658,1.1427673051715046,121.6633408130185,122.03768955398162,0.0006134969325153339,0.0,-0.0006131207847945852,-0.0006131207847945852,0.0036787247087675112,0.006744328632740659,0.032495401594114126,0.04107909258123854,2017,10
2017-10-03,527,778,198,1503,1974,0.7613981762917933,-0.19233716475095786,0.40383141762452107,0.5961685823754789,-0.3892201259238315,122.11255930217425,122.03768955398162,0.0,0.004294478527607337,0.004294478527607337,0.007361963190184007,0.007361963190184007,0.02331288343558291,0.03128834355828203,0.03742331288343559,2017,10
2017-10-05,879,430,190,1499,1974,0.7593718338399189,0.3430099312452254,0.6715049656226126,0.3284950343773873,0.7144062403098274,122.03768955398162,122.56177779133,0.0030543677458765295,0.0030543677458765295,0.0,0.004263093788063443,0.015834348355663996,0.025578562728380216,0.02923264311814866,0.02923264311814866,2017,10
2017-10-06,567,725,202,1494,1974,0.756838905775076,-0.12229102167182662,0.4388544891640867,0.5611455108359134,-0.24562032296868486,122.93612653229313,122.93612653229313,0.004263093788063443,0.015834348355663996,0.011522134627046654,0.013341419041843494,0.021224984839296468,0.019405700424499628,0.022437841115827695,0.02365069739235892,2017,10
2017-10-11,565,787,150,1502,1974,0.7608915906788247,-0.16420118343195267,0.41789940828402367,0.5821005917159763,-0.331153075143613,123.46021476964154,124.88273998530144,0.0017985611510791255,0.00959232613908867,0.007779772591262724,0.004787552363854086,0.005984440454817497,0.011370436864153177,0.012567324955116588,0.00957510472770795,2017,10
2017-10-12,708,628,168,1504,1974,0.7619047619047619,0.059880239520958084,0.5299401197604791,0.47005988023952094,0.119814031100433,125.10734922987932,126.08065595638347,-0.002969121140142472,-0.0017814726840855721,0.001191185229302949,0.001191185229302949,0.00655151876116733,0.004169148302560988,0.011316259678380014,0.003573555687909513,2017,10
2017-10-13,634,654,212,1500,1974,0.7598784194528876,-0.015527950310559006,0.4922360248447205,0.5077639751552795,-0.031034298195512313,125.70630721542034,125.85604671180558,0.0,0.005353955978584235,0.005353955978584235,0.005948839976204656,0.002974419988102328,0.006543723973825077,0.005948839976204656,0.002974419988102328,2017,10
2017-10-16,702,616,184,1502,1974,0.7608915906788247,0.06525037936267071,0.5326251896813353,0.4673748103186646,0.13058707860350183,125.85604671180558,126.52987444553922,0.0005917159763313418,-0.002366863905325367,-0.002956830277942024,0.002956830277942135,0.0005913660555882938,0.004139562389118945,-0.0005913660555884048,0.004730928444707239,2017,10
2017-10-17,382,960,170,1512,1974,0.7659574468085106,-0.4307004470938897,0.2846497764530551,0.7153502235469449,-0.9207253289420207,126.60474419373185,126.23039545276872,0.005931198102016699,0.003558718861209842,-0.002358490566037763,-0.001179245283018826,0.001179245283019048,-0.002948113207547287,-0.004716981132075415,0.004716981132075526,2017,10
2017-10-18,522,804,179,1505,1974,0.7624113475177305,-0.21266968325791855,0.3936651583710407,0.6063348416289592,-0.43159598259347187,126.97909293469499,126.67961394192447,0.0011820330969267712,0.0035460992907803135,0.0023612750885479983,-0.0035419126328216644,-0.0017709563164109987,-0.0023612750885478873,-0.004132231404958775,0.0047225501770955525,2017,10
2017-10-19,758,532,203,1493,1974,0.7563323201621074,0.17519379844961241,0.5875968992248062,0.4124031007751938,0.3537599012050067,126.82935343830974,127.12883243108026,-0.005889281507656108,-0.0041224970553593865,0.0017772511848339612,0.0035545023696681444,0.0011848341232225668,0.0,-0.0017772511848341832,0.004739336492890933,2017,10
2017-10-20,530,778,182,1490,1974,0.7548125633232016,-0.18960244648318042,0.40519877675840976,0.5948012232415902,-0.38354903322001516,126.38013494915398,126.60474419373185,0.0017740981667653255,-0.0005913660555884048,-0.0023612750885478873,-0.0023612750885478873,-0.0035419126328216644,-0.004132231404958775,-0.0047225501770956635,0.0,2017,10
2017-10-23,656,649,190,1495,1974,0.7573454913880446,0.0053639846743295016,0.5026819923371647,0.49731800766283524,0.010719857632196645,126.82935343830974,126.52987444553922,0.0,-0.0011834319526625725,-0.0011834319526625725,-0.002366863905325367,-0.0017751479289940253,-0.002958579881656709,0.005325443786982298,0.004142011834319392,2017,10
2017-10-24,753,546,205,1504,1974,0.7619047619047619,0.15935334872979215,0.5796766743648961,0.42032332563510394,0.32119471044995684,126.52987444553922,126.38013494915398,-0.0011848341232228998,-0.0005924170616115054,0.0005931198102016033,-0.00177935943060481,-0.0005931198102016033,0.0,0.01067615658362997,0.011862396204033177,2017,10
2017-10-25,550,766,192,1508,1974,0.7639311043566362,-0.1641337386018237,0.41793313069908816,0.5820668693009119,-0.33100774214913414,126.23039545276872,126.30526520096134,-0.002371072910491878,-0.0011855364552459946,0.0011883541295305555,0.0017825311942958333,0.0017825311942958333,0.009506833036244666,0.0112893642305405,0.009506833036244666,2017,10
2017-10-26,651,616,238,1505,1974,0.7624113475177305,0.027624309392265192,0.5138121546961326,0.4861878453038674,0.055219073960500895,126.00578620819086,126.15552570457609,0.0005934718100890635,0.0005934718100890635,0.0,0.009489916963226541,0.007710557532621509,0.01067615658362997,0.005931198102016699,0.0011862396204034287,2017,10
2017-10-27,341,1003,161,1505,1974,0.7624113475177305,-0.49255952380952384,0.2537202380952381,0.7462797619047619,-1.077901489225548,126.23039545276872,126.23039545276872,0.009489916963226541,0.007710557532621509,-0.001762632197414793,-0.001175088131609825,0.001175088131609936,0.0,-0.004700352526439411,-0.006462984723854315,2017,10
2017-10-30,487,823,187,1497,1974,0.7583586626139818,-0.2564885496183206,0.3717557251908397,0.6282442748091603,-0.5242732591797931,127.42831142385074,127.20370217927287,0.0005885815185402432,0.00294290759270166,0.0023529411764706687,0.004117647058823559,0.0011764705882353343,-0.0023529411764705577,-0.0017647058823530015,-0.008235294117647007,2017,10
